what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1438158787305
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1438158787306
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1438158787306
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1438158787307
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1438158787307
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1438158787308
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1438158787309
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1438158787309
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1438158787309
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1438158787310
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1438158787310
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1438158787310
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1438158787311
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1438158787311
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1438158787312
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1438158787312
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1438158787313
os,sysinfo,,,"win32",1438158787315
arch,sysinfo,,,"x86_64",1438158787315
ws,sysinfo,,,"win32",1438158787315
locale,sysinfo,,,"en_IN",1438158787315
processors,sysinfo,,,"4",1438158787315
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438158787315
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1438158787315
java.specification.name,sysinfo,,,"Java Platform API Specification",1438158787315
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438158787315
java.specification.version,sysinfo,,,"1.6",1438158787315
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1438158787315
java.version,sysinfo,,,"1.6.0_45",1438158787315
java.vm.info,sysinfo,,,"mixed mode",1438158787315
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1438158787315
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438158787315
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438158787315
java.vm.specification.version,sysinfo,,,"1.0",1438158787315
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1438158787315
java.vm.version,sysinfo,,,"20.45-b01",1438158787315
started,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1438158788238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438158788305
error,log,,,"Unexpected Exception",1438158798495
error,log,,,"Unexpected Exception",1438158799833
error,log,,,"Unexpected Exception",1438158802790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438158803205
executed,command,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites.commands.openExtractStringsWizard",1438158803229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438158804497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438158805443
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438158806193
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1438158806352
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1438158806357
error,log,,,"Unhandled event loop exception",1438158806402
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1438158806445
stopped,bundle,com.qualityeclipse.book,3.6.0.r36x201107210332,"com.qualityeclipse.book",1438158806447
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1438158806448
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1438158806450
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1438158806451
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1438158806452
