what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438153181738
java.specification.version,sysinfo,,,"1.6",1438153181738
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1438153181738
java.version,sysinfo,,,"1.6.0_45",1438153181738
java.vm.info,sysinfo,,,"mixed mode",1438153181738
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1438153181738
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438153181738
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438153181738
java.vm.specification.version,sysinfo,,,"1.0",1438153181738
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1438153181738
java.vm.version,sysinfo,,,"20.45-b01",1438153181738
started,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1438153184851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438153184913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438153199845
executed,command,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites.commands.openExtractStringsWizard",1438153199876
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438153201649
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1438153201821
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1438153201821
error,log,,,"Unhandled event loop exception",1438153201885
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1438153201916
stopped,bundle,com.qualityeclipse.book,3.6.0.r36x201107210332,"com.qualityeclipse.book",1438153201916
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1438153201916
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1438153201916
