what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1444632610873
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1444632610874
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1444632610874
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1444632610875
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1444632610875
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1444632610876
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1444632610876
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1444632610876
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1444632610877
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1444632610877
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1444632610878
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1444632610878
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1444632610879
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1444632610880
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444632610881
os,sysinfo,,,"win32",1444632610883
arch,sysinfo,,,"x86_64",1444632610883
ws,sysinfo,,,"win32",1444632610883
locale,sysinfo,,,"en_IN",1444632610883
processors,sysinfo,,,"4",1444632610883
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444632610883
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1444632610883
java.specification.name,sysinfo,,,"Java Platform API Specification",1444632610883
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1444632610883
java.specification.version,sysinfo,,,"1.6",1444632610883
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1444632610883
java.version,sysinfo,,,"1.6.0_45",1444632610883
java.vm.info,sysinfo,,,"mixed mode",1444632610883
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444632610883
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444632610883
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1444632610883
java.vm.specification.version,sysinfo,,,"1.0",1444632610883
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1444632610883
java.vm.version,sysinfo,,,"20.45-b01",1444632610883
started,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1444632612308
error,log,,,"Unhandled event loop exception",1444632612385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444632614405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444632658988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444632659556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444632803240
